agency,name,committee_url
Department of Health and Human Services,National Cancer Institute Clinical Trials and Translational Research Advisory Committee,http://deainfo.nci.nih.gov/advisory/ctac/ctac.htm
Department of Health and Human Services,National Cancer Institute Board of Scientific Advisors,http://deainfo.nci.nih.gov/advisory/bsa/bsa.htm
Department of Health and Human Services,"National Biodefense Science Board (also known as the ""National Preparedness And Response Science Board"")",http://www.phe.gov/Preparedness/legal/boards/nbsb/Pages/default.aspx
Department of Health and Human Services,National Cancer Institute Initial Review Group,http://deainfo.nci.nih.gov/advisory/irg/irg.htm
Department of Health and Human Services,National Asthma Education Prevention Program Coordinating Committee,http://www.nhlbi.nih.gov/about/org/naepp
Department of Health and Human Services,National Cancer Advisory Board,http://deainfo.nci.nih.gov/advisory/ncab/ncab.htm
Department of Health and Human Services,National Arthritis and Musculoskeletal and Skin Diseases Advisory Council,https://www.niams.nih.gov/about/working-groups/advisory-council
Department of Health and Human Services,National Advisory Mental Health Council,http://www.nimh.nih.gov/about/advisory-boards-and-groups/namhc/index.shtml
Department of Health and Human Services,National Advisory Dental and Craniofacial Research Council,http://www.nidcr.nih.gov/AboutUs/Councils/NADCRC/
Department of Health and Human Services,National Advisory General Medical Sciences Council,http://www.nigms.nih.gov/About/Council/
Department of Health and Human Services,National Advisory Council on the National Health Service Corps,http://www.nhsc.hrsa.gov/corpsexperience/aboutus/nationaladvisorycouncil/index.html
Department of Health and Human Services,National Advisory Neurological Disorders and Stroke Council,https://www.ninds.nih.gov/About-NINDS/Who-We-Are/Advisory-Council
Department of Health and Human Services,National Advisory Eye Council,https://nei.nih.gov/about/naec
Department of Health and Human Services,National Advisory Environmental Health Sciences Council,http://www.niehs.nih.gov/about/boards/naehsc/
Department of Health and Human Services,National Advisory Council on Nurse Education and Practice,https://www.hrsa.gov/advisorycommittees/bhpradvisory/nacnep/index.html
Department of Health and Human Services,National Advisory Council for Nursing Research,https://www.ninr.nih.gov/aboutninr/nacnr
Department of Health and Human Services,National Advisory Council on Migrant Health,http://bphc.hrsa.gov/about/nacmh/index.html
Department of Health and Human Services,National Advisory Council on Drug Abuse,http://www.drugabuse.gov/about-nida/advisory-boards-groups/national-advisory-council-drug-abuse-nacda
Department of Health and Human Services,National Advisory Council on Alcohol Abuse and Alcoholism,http://www.niaaa.nih.gov/about-niaaa/our-work/advisory-council
Department of Health and Human Services,National Advisory Council on Aging,http://www.nia.nih.gov/about/naca
Department of Health and Human Services,National Advisory Council on Minority Health and Health Disparities,http://www.nimhd.nih.gov/about/advCouncil.html
Department of Health and Human Services,National Advisory Council for Human Genome Research,http://www.genome.gov/10000905
Department of Health and Human Services,National Advisory Council for Healthcare Research and Quality,http://www.ahrq.gov/cpi/about/organization/nac/index.html#Overview
Department of Health and Human Services,National Advisory Committee on the Sex Trafficking of Children and Youth in the United States,https://www.acf.hhs.gov/otip/partnerships/the-national-advisory-committee
Department of Health and Human Services,National Advisory Child Health and Human Development Council,http://www.nichd.nih.gov/about/advisory/nachhd/Pages/index.aspx
Department of Health and Human Services,National Advisory Council for Complementary and Integrative Health,https://nccih.nih.gov/about/naccih
Department of Health and Human Services,National Advisory Council for Biomedical Imaging and Bioengineering,http://www.nibib.nih.gov/about-nibib/advisory-council
Department of Health and Human Services,National Advisory Committee on Rural Health and Human Services,http://www.hrsa.gov/advisorycommittees/rural/
Department of Health and Human Services,National Advisory Board on Medical Rehabilitation Research,http://www.nichd.nih.gov/about/advisory/nabmrr/pages/index.aspx
Department of Health and Human Services,"Musculoskeletal, Oral, and Skin Sciences Integrated Review Group",http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/MOSSIRG/Pages/default.aspx
Department of Health and Human Services,"Molecular, Cellular and Developmental Neuroscience Integrated Review Group",http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/MDCNIRG/Pages/default.aspx
Department of Health and Human Services,National Advisory Allergy and Infectious Diseases Council,https://www.niaid.nih.gov/about/advisory-council
Department of Health and Human Services,Muscular Dystrophy Coordinating Committee,https://mdcc.nih.gov/
